WBGene00001444,flp-1
WBGene00001445,flp-2
WBGene00001446,flp-3
WBGene00001447,flp-4
WBGene00001448,flp-5
WBGene00001449,flp-6
WBGene00001450,flp-7
WBGene00001451,flp-8
WBGene00001452,flp-9
WBGene00001453,flp-10
WBGene00001454,flp-11
WBGene00001455,flp-12
WBGene00001456,flp-13
WBGene00001457,flp-14
WBGene00001458,flp-15
WBGene00001459,flp-16
WBGene00001460,flp-17
WBGene00001461,flp-18
WBGene00001462,flp-19
WBGene00001463,flp-20
WBGene00001464,flp-21
WBGene00009562,flp-22
WBGene00010575,flp-25
WBGene00010982,flp-32
WBGene00011586,flp-33
WBGene00016028,flp-24
WBGene00016114,flp-27
WBGene00017693,flp-23
WBGene00019975,flp-34
WBGene00020126,flp-26
WBGene00044686,flp-28