WBGene00003739,nlp-1
WBGene00003740,nlp-2
WBGene00003741,nlp-3
WBGene00003742,nlp-4
WBGene00003743,nlp-5
WBGene00003744,nlp-6
WBGene00003745,nlp-7
WBGene00003746,nlp-8
WBGene00003747,nlp-9
WBGene00003748,nlp-10
WBGene00003749,nlp-11
WBGene00003750,nlp-12
WBGene00003751,nlp-13
WBGene00003752,nlp-14
WBGene00003753,nlp-15
WBGene00003754,nlp-16
WBGene00003755,nlp-17
WBGene00003756,nlp-18
WBGene00003757,nlp-19
WBGene00003758,nlp-20
WBGene00003759,nlp-21
WBGene00003760,nlp-22
WBGene00003761,nlp-23
WBGene00003762,nlp-24
WBGene00003763,nlp-25
WBGene00003764,nlp-26
WBGene00003765,nlp-27
WBGene00003766,nlp-28
WBGene00003767,nlp-29
WBGene00003768,nlp-30
WBGene00003769,nlp-31
WBGene00003770,nlp-32
WBGene00003771,nlp-33
WBGene00007185,nlp-36
WBGene00007219,nlp-38
WBGene00007316,nlp-41
WBGene00007881,nlp-35
WBGene00008295,nlp-39
WBGene00012145,nlp-46
WBGene00013588,nlp-42
WBGene00015046,nlp-34
WBGene00015354,snet-1
WBGene00018117,nlp-47
WBGene00018590,nlp-37
WBGene00020317,pdf-1
WBGene00022276,nlp-40
WBGene00044568,ntc-1